country,country_code,region,income_group,che_per_capita_usd,risk_factor_key,risk_category,risk_factor_label,daly_per_capita,unit,capital,pathway,source
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,wash_sanitation_diarrheal,WASH,Unsafe sanitation — diarrheal disease,0.0161247509881676,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,wash_water_diarrheal,WASH,Unsafe water source — diarrheal disease,0.025857662574309402,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,wash_handwashing_respiratory,WASH,No handwashing — lower respiratory infections,0.00535584966662048,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,ohs_secondhand_smoke,OHS,Second-hand smoke — all causes,0.0027046824998704197,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,ohs_occupational_pm,OHS,Occupational PM/gases/fumes — all causes,0.00034530025448572095,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,ohs_occupational_injuries,OHS,Occupational injuries — all causes,0.0041849952688899905,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,diet_processed_meat,Diet,Diet high in processed meat,0.000356621305401018,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,diet_red_meat,Diet,Diet high in red meat,0.00101383317231055,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,diet_sodium,Diet,Diet high in sodium,0.0011505576762190501,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,diet_sugary_beverages,Diet,Diet high in sugar-sweetened beverages,0.00034328693083119803,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,diet_trans_fats,Diet,Diet high in trans fats,0.000397935032752019,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,diet_low_vegetables,Diet,Diet low in vegetables,0.00128260975573893,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,diet_low_whole_grains,Diet,Diet low in whole grains,0.00196847355822382,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,diet_risks_total,Diet,Dietary risks — aggregate,0.00865361851199541,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Angola,AGO,Sub-Saharan Africa,Lower middle income,64.16,smoking,Lifestyle,Smoking — all causes,0.00833744498995209,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,wash_handwashing_diarrheal,WASH,No handwashing facility — diarrheal disease,5.32037029219781e-05,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,wash_sanitation_diarrheal,WASH,Unsafe sanitation — diarrheal disease,0.00036101686842293195,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,wash_water_diarrheal,WASH,Unsafe water source — diarrheal disease,0.00106319554217832,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,wash_handwashing_respiratory,WASH,No handwashing — lower respiratory infections,7.915232734894e-05,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,ohs_secondhand_smoke,OHS,Second-hand smoke — all causes,0.0062159456328514705,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,ohs_occupational_pm,OHS,Occupational PM/gases/fumes — all causes,0.000545807425191751,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,ohs_occupational_injuries,OHS,Occupational injuries — all causes,0.0032940344611634797,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,diet_processed_meat,Diet,Diet high in processed meat,0.0037502641585172103,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,diet_red_meat,Diet,Diet high in red meat,0.00547482360104709,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,diet_sodium,Diet,Diet high in sodium,0.0151473019110081,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,diet_sugary_beverages,Diet,Diet high in sugar-sweetened beverages,0.00112586819141484,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,diet_trans_fats,Diet,Diet high in trans fats,0.00227155691138061,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,diet_low_vegetables,Diet,Diet low in vegetables,0.00023745752023087,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,diet_low_whole_grains,Diet,Diet low in whole grains,0.0106189595233257,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,diet_risks_total,Diet,Dietary risks — aggregate,0.0387546355856791,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Albania,ALB,Europe & Central Asia,Upper middle income,464.74,smoking,Lifestyle,Smoking — all causes,0.0382943190767357,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Andorra,AND,Europe & Central Asia,High income,3505.99,wash_handwashing_diarrheal,WASH,No handwashing facility — diarrheal disease,1.0336678948681499e-05,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Andorra,AND,Europe & Central Asia,High income,3505.99,wash_sanitation_diarrheal,WASH,Unsafe sanitation — diarrheal disease,8.137066626624e-06,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Andorra,AND,Europe & Central Asia,High income,3505.99,wash_water_diarrheal,WASH,Unsafe water source — diarrheal disease,1.47327547464717e-05,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Andorra,AND,Europe & Central Asia,High income,3505.99,wash_handwashing_respiratory,WASH,No handwashing — lower respiratory infections,2.8146418984497102e-05,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Andorra,AND,Europe & Central Asia,High income,3505.99,ohs_secondhand_smoke,OHS,Second-hand smoke — all causes,0.00247845454631159,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
