country,country_code,region,income_group,skill_level,wage_usd_year,unit,capital,pathway,source
Austria,AUT,Europe & Central Asia,High income,medium,35337.59221805382,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Austria,AUT,Europe & Central Asia,High income,high,77528.41313285833,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,low,3407.796225577409,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,medium,4469.161229119713,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,high,7712.828845901921,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Burundi,BDI,Sub-Saharan Africa,Low income,low,50.13453300683894,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Burundi,BDI,Sub-Saharan Africa,Low income,medium,103.2313571313604,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Burundi,BDI,Sub-Saharan Africa,Low income,high,525.2231918048606,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Belgium,BEL,Europe & Central Asia,High income,low,23353.407314123164,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Belgium,BEL,Europe & Central Asia,High income,medium,36137.38459383714,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Belgium,BEL,Europe & Central Asia,High income,high,73301.5138195883,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Benin,BEN,Sub-Saharan Africa,Lower middle income,low,274.58918473601796,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Benin,BEN,Sub-Saharan Africa,Lower middle income,medium,572.5269626825387,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Benin,BEN,Sub-Saharan Africa,Lower middle income,high,2828.0983526221585,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Burkina Faso,BFA,Sub-Saharan Africa,Low income,low,76.5710542554104,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Burkina Faso,BFA,Sub-Saharan Africa,Low income,medium,219.15938109466435,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Burkina Faso,BFA,Sub-Saharan Africa,Low income,high,3515.532039362772,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Bangladesh,BGD,South Asia,Lower middle income,low,483.4994543398666,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Bangladesh,BGD,South Asia,Lower middle income,medium,990.7653949145651,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
