country,country_code,region_wb,income_level,hui_daly_per_work_year,living_wage_usd_year,hui_daly_per_usd,hui_usd_per_usd,unit,capital,pathway,source
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,0.463,10668.94905287557,1.0849241047673974e-05,0.644943983320027,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Spain,ESP,Europe & Central Asia,High income,0.108,14982.161013286608,1.8021432272724628e-06,0.10713020628843882,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Sri Lanka,LKA,South Asia,Lower middle income,0.33,6901.641810612933,1.1953677438480858e-05,0.7105983090079331,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,0.336,13806.296821510408,6.084180362479735e-06,0.3616801858279703,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,0.372,16630.612305418712,5.592097169488945e-06,0.33242780833743985,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,0.41,12416.475200240811,8.2551608525753e-06,0.49073629204219127,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Sudan,SDN,Sub-Saharan Africa,Low income,0.825,6764.829483642849,3.048857336296594e-05,1.8124237321348733,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Suriname,SUR,Latin America & Caribbean,Upper middle income,0.41,8200.864061961065,1.2498682971156244e-05,0.742996707903354,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,0.641,9104.524241249372,1.7601139362556044e-05,1.0463173305465066,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Sweden,SWE,Europe & Central Asia,High income,0.12,19647.542930298026,1.526908484507632e-06,0.09076860177004069,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Switzerland,CHE,Europe & Central Asia,High income,0.016,30356.35845181949,1.3176811066942218e-07,0.00783308710685447,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,0.721,5741.170185359439,3.139603846958859e-05,1.8663689028631631,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Taiwan,TWN,East Asia & Pacific,High income,0.087,11366.2209763916,1.913564767496268e-06,0.11375377116858315,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Tajikistan,TJK,Europe & Central Asia,Lower middle income,0.538,5806.007115393784,2.316566227474865e-05,1.3771059595847082,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,0.791,8543.606059385289,2.31459642012366e-05,1.3759349879067109,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
